Дата,Описание,Сумма,Тип операции
2024-01-15,Зарплата,50000.00,Приход
2024-01-16,Магнит - продукты,-2500.50,Расход
2024-01-17,Яндекс.Такси,-350.00,Расход
2024-01-18,МТС - мобильная связь,-500.00,Расход
2024-01-19,Пятерочка - продукты,-1800.75,Расход
2024-01-20,Бензин на заправке,-2000.00,Расход
2024-01-21,Кинотеатр,-800.00,Расход
2024-01-22,Аптека,-450.00,Расход
2024-01-23,Интернет-провайдер,-1200.00,Расход
2024-01-24,Кафе,-650.00,Расход
2024-01-25,Перевод на карту,15000.00,Приход
2024-01-26,ЖКХ - коммунальные услуги,-3500.00,Расход
2024-01-27,H&M - одежда,-2500.00,Расход
2024-01-28,Метро,-150.00,Расход
2024-01-29,Ресторан,-1200.00,Расход
2024-01-30,Билайн - связь,-400.00,Расход
2024-02-01,Зарплата,50000.00,Приход
2024-02-02,Ашан - продукты,-3200.00,Расход
2024-02-03,Uber,-280.00,Расход
2024-02-04,Больница,-800.00,Расход
2024-02-05,Парковка,-200.00,Расход
2024-02-06,Курсы английского,-5000.00,Расход
2024-02-07,Театр,-1200.00,Расход
2024-02-08,Лента - продукты,-2100.00,Расход
2024-02-09,Депозит в банке,10000.00,Приход
2024-02-10,Газ - коммунальные,-800.00,Расход
2024-02-11,Zara - одежда,-3500.00,Расход
2024-02-12,Автобус,-50.00,Расход
2024-02-13,Концерт,-1500.00,Расход
2024-02-14,Мегафон - связь,-350.00,Расход
2024-02-15,Зарплата,50000.00,Приход
2024-02-16,Перекресток - продукты,-1900.00,Расход
2024-02-17,Электричество,-1200.00,Расход
2024-02-18,Игры Steam,-800.00,Расход
2024-02-19,Поликлиника,-600.00,Расход
2024-02-20,Вода - коммунальные,-400.00,Расход
2024-02-21,Uniqlo - одежда,-2800.00,Расход
2024-02-22,Дивиденды по акциям,2500.00,Приход
2024-02-23,Отопление,-1500.00,Расход
2024-02-24,Школа - обучение,-3000.00,Расход
2024-02-25,Развлечения,-1000.00,Расход
2024-02-26,Теле2 - связь,-300.00,Расход
2024-02-27,Возврат товара,500.00,Приход
2024-02-28,Проценты по депозиту,150.00,Приход
